Month,Strategy_Return,Market_Return,Correct_Predictions,Total_Predictions,Monthly_Accuracy,Strategy_Return_Pct,Market_Return_Pct
2015-03,-0.005538324015124885,-0.005538324015124885,4,12,0.3333333333333333,-0.5538324015124885,-0.5538324015124885
2015-04,0.010076341901862795,0.010076341901862795,13,21,0.6190476190476191,1.0076341901862795,1.0076341901862795
2015-05,0.013210692778204858,0.013210692778204858,10,20,0.5,1.3210692778204858,1.3210692778204858
2015-06,-0.01999432838947257,-0.01999432838947257,10,22,0.45454545454545453,-1.999432838947257,-1.999432838947257
2015-07,0.022915357232738298,0.022915357232738298,11,22,0.5,2.29153572327383,2.29153572327383
2015-08,-0.08467703864052034,-0.05994137848742109,7,21,0.3333333333333333,-8.467703864052034,-5.99413784874211
2015-09,-0.010443669126725452,-0.023815089984153937,12,21,0.5714285714285714,-1.0443669126725452,-2.3815089984153937
2015-10,0.0824440587244809,0.0824440587244809,13,22,0.5909090909090909,8.244405872448091,8.244405872448091
2015-11,0.004200518594685287,0.004200518594685287,8,20,0.4,0.42005185946852874,0.42005185946852874
2015-12,-0.016046246263330954,-0.016046246263330954,9,22,0.4090909090909091,-1.6046246263330954,-1.6046246263330954
2016-01,-0.03612274369089141,-0.04893821331621029,11,19,0.5789473684210527,-3.6122743690891412,-4.893821331621028
2016-02,0.0005101598981261946,0.0005101598981261946,10,20,0.5,0.051015989812619456,0.051015989812619456
2016-03,0.06572185481754156,0.06572185481754156,15,22,0.6818181818181818,6.572185481754156,6.572185481754156
2016-04,0.004349026025455505,0.004349026025455505,11,21,0.5238095238095238,0.43490260254555047,0.43490260254555047
2016-05,0.017356005749999293,0.017356005749999293,12,21,0.5714285714285714,1.7356005749999293,1.7356005749999293
2016-06,0.00492012673122455,0.00492012673122455,12,22,0.5454545454545454,0.492012673122455,0.492012673122455
2016-07,0.03606308026432248,0.03606308026432248,11,20,0.55,3.606308026432248,3.606308026432248
2016-08,0.0013281573243176803,0.0013281573243176803,11,23,0.4782608695652174,0.13281573243176803,0.13281573243176803
2016-09,0.000861288043149333,0.000861288043149333,11,21,0.5238095238095238,0.0861288043149333,0.0861288043149333
2016-10,-0.01730117351500804,-0.01730117351500804,10,21,0.47619047619047616,-1.730117351500804,-1.730117351500804
2016-11,0.03664427330968034,0.03664427330968034,12,21,0.5714285714285714,3.664427330968034,3.664427330968034
2016-12,0.020332706622498642,0.020332706622498642,13,21,0.6190476190476191,2.033270662249864,2.033270662249864
2017-01,0.017909594894452763,0.017909594894452763,9,20,0.45,1.7909594894452763,1.7909594894452763
2017-02,0.038652869772064835,0.038652869772064835,15,19,0.7894736842105263,3.8652869772064835,3.8652869772064835
2017-03,0.001554347710736259,0.001554347710736259,9,23,0.391304347826087,0.1554347710736259,0.1554347710736259
2017-04,0.010082646926015237,0.010082646926015237,9,19,0.47368421052631576,1.0082646926015237,1.0082646926015237
2017-05,0.014266172801735144,0.014266172801735144,12,22,0.5454545454545454,1.4266172801735144,1.4266172801735144
2017-06,0.006585888891632474,0.006585888891632474,11,22,0.5,0.6585888891632474,0.6585888891632474
2017-07,0.020473756358625805,0.020473756358625805,12,20,0.6,2.0473756358625805,2.0473756358625805
2017-08,0.0032965629197553303,0.0032965629197553303,14,23,0.6086956521739131,0.32965629197553303,0.32965629197553303
2017-09,0.020068925619033062,0.020068925619033062,14,20,0.7,2.0068925619033062,2.0068925619033062
2017-10,0.02340801738648457,0.02340801738648457,16,22,0.7272727272727273,2.340801738648457,2.340801738648457
2017-11,0.03029518659746555,0.03029518659746555,11,21,0.5238095238095238,3.029518659746555,3.029518659746555
2017-12,0.012172868916971002,0.012172868916971002,11,20,0.55,1.2172868916971002,1.2172868916971002
2018-01,0.055197102278218946,0.055197102278218946,14,21,0.6666666666666666,5.519710227821895,5.519710227821895
2018-02,-0.03422047917927684,-0.03422047917927684,10,19,0.5263157894736842,-3.422047917927684,-3.422047917927684
2018-03,-0.026163197688574558,-0.026163197688574558,9,21,0.42857142857142855,-2.6163197688574558,-2.6163197688574558
2018-04,0.00632006180812128,0.00632006180812128,13,21,0.6190476190476191,0.632006180812128,0.632006180812128
2018-05,0.024479008693136017,0.024479008693136017,11,22,0.5,2.4479008693136017,2.4479008693136017
2018-06,0.006023759426885489,0.006023759426885489,13,21,0.6190476190476191,0.6023759426885489,0.6023759426885489
2018-07,0.03668941342786902,0.03668941342786902,12,21,0.5714285714285714,3.668941342786902,3.668941342786902
2018-08,0.03165403665597577,0.03165403665597577,14,23,0.6086956521739131,3.165403665597577,3.165403665597577
2018-09,0.0060404365971078455,0.0060404365971078455,11,19,0.5789473684210527,0.6040436597107846,0.6040436597107846
2018-10,-0.06935559888716791,-0.06935559888716791,8,23,0.34782608695652173,-6.935559888716791,-6.935559888716791
2018-11,0.019786299567131516,0.019786299567131516,11,21,0.5238095238095238,1.9786299567131516,1.9786299567131516
2018-12,-0.09644554199519728,-0.08876810939879021,6,19,0.3157894736842105,-9.644554199519728,-8.876810939879022
2019-01,0.07847781699159972,0.07847781699159972,16,21,0.7619047619047619,7.847781699159972,7.847781699159972
2019-02,0.03216313050523001,0.03216313050523001,12,19,0.631578947368421,3.216313050523001,3.216313050523001
2019-03,0.018497685967075683,0.018497685967075683,11,21,0.5238095238095238,1.8497685967075683,1.8497685967075683
2019-04,0.04022929972063394,0.04022929972063394,14,21,0.6666666666666666,4.022929972063394,4.022929972063394
2019-05,-0.06490084418294284,-0.06490084418294284,8,22,0.36363636363636365,-6.490084418294284,-6.490084418294284
