plan,model_type,accuracy,precision,recall,f1
wide_forest,random_forest,0.52513611615245,0.5248384118190212,0.9849246231155779,0.6847780254201554
baseline,random_forest,0.5263157894736842,0.5258321612751993,0.9717553283659678,0.6824044779751764
gradient_boost_slow,gradient_boosting,0.5223230490018149,0.5250766643584924,0.9197712701438225,0.6685138539042821
deep_forest,random_forest,0.523502722323049,0.5266830870279147,0.8892739559868307,0.6615533354817918
gradient_boost,gradient_boosting,0.5301270417422868,0.5312335405035289,0.873852018714261,0.6607704402515723
balanced_forest,random_forest,0.5167876588021778,0.5338083687083081,0.6101195633339109,0.5694186140535296
